episode,reward
0,129567.1
1,130809.5
2,107247.0
3,108331.3
4,124703.0
5,109424.8
6,125910.7
7,116955.4
8,115699.9
9,131152.5
10,132030.2
11,122762.4
12,138552.0
13,129941.4
14,123030.1
15,136598.3
16,130045.9
17,132244.2
18,127838.0
19,133650.6
20,110449.09999999999
21,137805.5
22,146206.2
23,123570.29999999999
24,123213.9
25,126686.0
26,128664.0
27,118844.9
28,135194.1
29,141456.0
30,136995.0
31,116302.0
32,144949.0
33,145238.6
34,127051.0
35,127247.4
36,126025.4
37,124134.9
38,134288.2
39,142998.0
40,138984.3
41,129124.70000000001
42,126024.4
43,126554.9
44,138756.7
45,136062.6
46,127423.00000000001
47,126731.0
48,147612.2
49,130956.6
50,138799.0
51,119146.1
52,127219.5
53,138047.6
54,144249.0
55,138894.9
56,137600.3
57,123107.1
58,135015.2
59,141077.0
60,140817.5
61,147350.5
62,136302.7
63,135220.3
64,130005.90000000001
65,137517.7
66,140026.4
67,125390.4
68,133717.6
69,122612.79999999999
70,140367.30000000002
71,135764.9
72,134198.6
73,146152.0
74,134109.40000000002
75,138777.19999999998
76,140554.6
77,138545.2
78,148331.1
79,134257.6
80,138927.6
81,142516.0
82,127912.6
83,154431.6
84,138923.0
85,134231.69999999998
86,134654.69999999998
87,134244.7
88,132948.4
89,138283.6
90,128447.70000000001
91,146965.7
92,133842.2
93,146123.4
94,138022.0
95,137366.4
96,127259.8
97,134000.6
98,143801.0
99,144873.0
100,132293.1
101,138694.80000000002
102,142602.0
103,145840.0
104,146808.0
105,133536.0
106,144666.7
107,152457.1
108,124832.99999999999
109,133201.8
110,145676.0
111,140921.80000000002
112,130919.70000000001
113,133617.0
114,142636.0
115,136450.0
116,140600.0
117,138420.7
118,133866.0
119,143679.0
120,133164.5
121,138106.8
122,145379.0
123,137976.7
124,145616.0
125,127856.8
126,126490.29999999999
127,134394.0
128,122376.0
129,142526.0
130,124674.0
131,149418.7
132,139690.9
133,136467.0
134,126279.0
135,140963.0
136,136722.6
137,137680.5
138,143892.4
139,138930.0
140,125954.0
141,128663.0
142,146154.0
143,145708.0
